(व्हेज सँडविच),Veg Sandwich
(व्हेज चीज सँडविच),Veg Cheese Sandwich
(चीज सँडविच),Cheese Sandwich
(व्हेज ग्रील सँडविच),Veg Grill Sandwich
(व्हेज चीज ग्रील सँडविच),Veg Cheese Grill Sandwich
(बर्गर),Burger
(चीज बर्गर),Cheese Burger
(पाव भाजी पिझ्झा),Pav Bhaji Pizza
(मिक्स वेज पिझ्झा),Mix Veg Pizza
(पनीर चिल्ली पिझ्झा),Paneer Chilly Pizza
(पनीर टिक्का पिझ्झा),Paneer Tikka Pizza
(चीज पिझ्झा),Cheese Pizza
(पालक मेथी पुलाव),Palak Methi Pulav
(छोले पुलाव),Chole Pulav
(मशरूम दम पुलाव),Mashroom Dam Pulav
(आलू दम पुलाव),Alu Dam Pulav
(पनीर पुलाव),Paneer Pulav
(तवा पुलाव),Tava Pulav
(व्हेज पुलाव),Veg Pulav
(पाव भाजी),Pav Bhaji
(जैन पाव भाजी),Jen Pav Bhaji
(पनीर पाव भाजी),Paneer Pav Bhaji
(चीज पाव भाजी),Cheese Pav Bhaji
(खडा चीज पाव भाजी),Khada Cheese Pav Bhaji
(खडा पनीर पाव भाजी),Khada Paneer Pav Bhaji
(खडा पाव भाजी),Khada Pav Bhaji
